frame_idx,timestamp,camera_id,class_name,confidence,x1,y1,x2,y2,box_area_px,track_id
1,0.000,18,Bottle,0.4940,1028,1010,1184,1322,48672,3
2,0.035,18,Bottle,0.4502,1028,1010,1185,1323,49141,3
3,0.099,18,Bottle,0.4035,603,354,617,383,406,16
3,0.099,18,Bottle,0.3630,1028,1009,1184,1323,48984,3
4,0.129,18,Bottle,0.8023,593,350,605,386,432,16
4,0.129,18,Bottle,0.3014,1028,1009,1184,1322,48828,3
5,0.195,18,Bottle,0.3979,1028,1009,1184,1323,48984,3
6,0.229,18,Bottle,0.6016,19,323,30,350,297,12
6,0.229,18,Bottle,0.2986,1028,1009,1184,1321,48672,3
7,0.289,18,Bottle,0.4174,1488,449,1533,552,4635,
7,0.289,18,Bottle,0.3158,1028,1009,1184,1321,48672,3
7,0.289,18,Bottle,0.2786,1277,516,1315,553,1406,4
8,0.330,18,Bottle,0.4727,541,340,553,376,432,16
9,0.389,18,Bottle,0.8342,534,338,541,372,238,16
9,0.389,18,Bottle,0.3761,1028,1009,1185,1324,49455,3
10,0.430,18,Bottle,0.7018,2045,576,2111,707,8646,
10,0.430,18,Bottle,0.4085,1028,1009,1185,1324,49455,3
10,0.430,18,Bottle,0.3175,1431,576,1508,598,1694,4
11,0.489,18,knife,0.3002,1024,1348,1108,1440,7728,3
11,0.489,18,Bottle,0.2946,1028,1009,1185,1323,49298,3
12,0.530,18,Bottle,0.3556,1028,1009,1185,1323,49298,3
12,0.530,18,knife,0.2787,1024,1348,1108,1440,7728,3
13,0.589,18,Bottle,0.3769,1670,583,1702,661,2496,4
13,0.589,18,Bottle,0.3282,1028,1009,1185,1325,49612,3
13,0.589,18,knife,0.2628,1024,1348,1110,1440,7912,3
14,0.630,18,Bottle,0.6225,1000,358,1012,385,324,102
14,0.630,18,knife,0.3308,1025,1351,1116,1440,8099,3
15,0.690,18,Bottle,0.3598,1367,404,1401,431,918,46
15,0.690,18,Bottle,0.3187,1027,1010,1184,1328,49926,3
16,0.729,18,Bottle,0.3743,1027,1010,1184,1329,50083,3
16,0.729,18,Cigarette,0.3545,1877,701,1883,712,66,4
17,0.789,18,Bottle,0.3583,1027,1010,1185,1330,50560,3
18,0.830,18,Bottle,0.3836,1027,1010,1185,1336,51508,3
19,0.888,18,Bottle,0.5135,1972,470,1987,509,585,98
19,0.888,18,Bottle,0.3744,1026,1010,1185,1338,52152,3
20,0.930,18,Bottle,0.7844,1854,559,1874,595,720,18
20,0.930,18,Bottle,0.3571,1026,1010,1185,1341,52629,3
20,0.930,18,Bottle,0.2786,1292,371,1311,379,152,117
24,1.130,18,Bottle,0.4151,632,299,648,329,480,152
24,1.130,18,Bottle,0.2518,1900,444,1922,471,594,98
25,1.188,18,knife,0.2564,1024,1351,1117,1439,8184,3
26,1.230,18,knife,0.2670,1024,1351,1118,1439,8272,3
27,1.288,18,Bottle,0.4961,355,304,362,329,175,16
27,1.288,18,knife,0.2702,1024,1351,1118,1439,8272,3
28,1.330,18,knife,0.2712,1024,1351,1118,1439,8272,3
28,1.330,18,Bottle,0.2503,1026,1011,1185,1335,51516,3
29,1.389,18,knife,0.2725,1024,1351,1118,1439,8272,3
30,1.430,18,Bottle,0.6726,600,232,628,251,532,152
30,1.430,18,Bottle,0.4487,2481,653,2511,716,1890,
30,1.430,18,Bottle,0.3366,1147,283,1163,298,240,117
30,1.430,18,knife,0.2786,1024,1351,1118,1439,8272,3
31,1.488,18,knife,0.2760,1024,1351,1118,1439,8272,3
32,1.529,18,Bottle,0.5784,561,280,579,308,504,152
32,1.529,18,Bottle,0.3083,534,279,551,314,595,152
32,1.529,18,knife,0.2701,1024,1351,1118,1439,8272,3
33,1.588,18,Bottle,0.2875,1454,457,1510,556,5544,
33,1.588,18,knife,0.2714,1024,1351,1118,1439,8272,3
34,1.629,18,Bottle,0.3180,1028,312,1044,347,560,117
34,1.629,18,Bottle,0.2915,302,224,323,243,399,16
34,1.629,18,knife,0.2734,1024,1351,1118,1439,8272,3
35,1.688,18,knife,0.2645,1024,1351,1118,1439,8272,3
36,1.729,18,knife,0.2506,1024,1351,1117,1439,8184,3
37,1.788,18,knife,0.2540,1024,1351,1117,1439,8184,3
38,1.830,18,knife,0.2542,1024,1351,1117,1439,8184,3
39,1.888,18,Bottle,0.7048,938,371,953,407,540,117
39,1.888,18,knife,0.2619,1024,1351,1117,1439,8184,3
40,1.929,18,Bottle,0.4177,922,369,939,406,629,117
40,1.929,18,knife,0.2573,1024,1351,1117,1439,8184,3
43,2.089,18,knife,0.2718,1024,1352,1119,1439,8265,3
44,2.130,18,Bottle,0.4438,442,264,457,290,390,152
44,2.130,18,knife,0.2898,1024,1352,1119,1439,8265,3
45,2.189,18,Bottle,0.3768,901,334,933,365,992,117
45,2.189,18,knife,0.3068,1024,1353,1120,1439,8256,3
46,2.229,18,Bottle,0.4719,887,335,916,362,783,117
46,2.229,18,knife,0.3165,1024,1353,1120,1439,8256,3
47,2.288,18,Bottle,0.3680,457,329,463,335,36,152
47,2.288,18,knife,0.3039,1024,1353,1120,1439,8256,3
48,2.330,18,knife,0.2928,1024,1353,1120,1439,8256,3
49,2.388,18,knife,0.2783,1024,1352,1119,1439,8265,3
50,2.429,18,knife,0.2795,1024,1352,1119,1439,8265,3
51,2.488,18,knife,0.2747,1024,1352,1119,1439,8265,3
52,2.529,18,knife,0.2693,1024,1352,1119,1439,8265,3
53,2.590,18,knife,0.2669,1024,1352,1119,1439,8265,3
54,2.629,18,Bottle,0.4371,1146,416,1173,473,1539,
54,2.629,18,knife,0.2591,1024,1352,1119,1439,8265,3
55,2.690,18,Bottle,0.2578,1025,1012,1186,1338,52486,3
56,2.729,18,Bottle,0.5184,1107,407,1136,466,1711,
57,2.788,18,Bottle,0.3282,1084,399,1117,463,2112,
57,2.788,18,knife,0.2534,1024,1352,1119,1439,8265,3
60,2.929,18,Bottle,0.2944,1032,390,1066,452,2108,
60,2.929,18,knife,0.2713,1024,1352,1119,1439,8265,3
61,3.012,18,knife,0.2889,1024,1353,1118,1439,8084,3
62,3.062,18,knife,0.2963,1024,1353,1119,1439,8170,3
63,3.079,18,Bottle,0.6093,892,379,899,410,217,98
63,3.079,18,knife,0.2907,1024,1353,1118,1439,8084,3
64,3.138,18,knife,0.2836,1024,1353,1118,1439,8084,3
65,3.179,18,knife,0.2905,1024,1353,1118,1439,8084,3
66,3.239,18,knife,0.2945,1024,1353,1118,1439,8084,3
67,3.280,18,Bottle,0.3039,864,285,874,306,210,98
67,3.280,18,knife,0.2981,1024,1353,1118,1439,8084,3
68,3.338,18,knife,0.2796,1024,1353,1118,1439,8084,3
69,3.380,18,knife,0.2815,1024,1353,1118,1439,8084,3
70,3.439,18,knife,0.2859,1024,1353,1118,1439,8084,3
71,3.479,18,knife,0.2937,1024,1353,1118,1439,8084,3
72,3.538,18,knife,0.2983,1024,1353,1118,1439,8084,3
73,3.580,18,Bottle,0.7622,256,273,270,295,308,152
73,3.580,18,knife,0.3022,1024,1353,1118,1439,8084,3
74,3.638,18,knife,0.2954,1024,1353,1118,1439,8084,3
75,3.679,18,knife,0.3329,1024,1353,1117,1439,7998,3
76,3.739,18,knife,0.3749,1024,1352,1114,1440,7920,3
77,3.780,18,knife,0.3437,1024,1352,1112,1440,7744,3
78,3.839,18,knife,0.3266,1024,1352,1110,1440,7568,3
84,4.132,18,Bottle,0.8724,0,344,7,360,112,12
84,4.132,18,Bottle,0.2948,662,268,684,305,814,98
85,4.188,18,knife,0.2526,1024,1352,1110,1439,7482,3
86,4.230,18,knife,0.2662,1024,1352,1111,1439,7569,3
86,4.230,18,Bottle,0.2634,1026,1008,1188,1328,51840,3
87,4.288,18,knife,0.2753,1024,1352,1111,1439,7569,3
87,4.288,18,Bottle,0.2714,1026,1008,1188,1327,51678,3
88,4.330,18,knife,0.2733,1024,1352,1111,1439,7569,3
89,4.389,18,knife,0.2837,1024,1352,1112,1439,7656,3
90,4.430,18,knife,0.2781,1024,1351,1112,1439,7744,3
91,4.489,18,knife,0.2845,1024,1351,1112,1439,7744,3
92,4.529,18,knife,0.2807,1024,1351,1112,1439,7744,3
93,4.588,18,knife,0.2891,1024,1351,1113,1439,7832,3
94,4.630,18,knife,0.3021,1024,1351,1113,1439,7832,3
94,4.630,18,Bottle,0.2833,1026,1008,1187,1326,51198,3
94,4.630,18,Bottle,0.2816,20,437,32,455,216,12
95,4.688,18,Bottle,0.3812,26,323,34,336,104,12
95,4.688,18,Bottle,0.3410,1025,1007,1188,1327,52160,3
95,4.688,18,Cigarette,0.3136,1160,1095,1164,1101,24,3
95,4.688,18,knife,0.2955,1024,1351,1113,1439,7832,3
96,4.729,18,Bottle,0.2823,1025,1007,1186,1328,51681,3
96,4.729,18,knife,0.2576,1024,1351,1112,1439,7744,3
97,4.789,18,Bottle,0.6941,32,319,42,332,130,12
97,4.789,18,Bottle,0.3124,1025,1009,1187,1331,52164,3
98,4.831,18,Bottle,0.2611,1025,1009,1188,1335,53138,3
98,4.831,18,knife,0.2519,1024,1351,1111,1439,7656,3
99,4.888,18,knife,0.2501,1024,1351,1111,1439,7656,3
100,4.930,18,knife,0.2959,1024,1351,1113,1439,7832,3
100,4.930,18,Cigarette,0.2673,1685,1277,1691,1288,66,1
101,5.013,18,knife,0.3133,1024,1352,1112,1439,7656,3
102,5.072,18,knife,0.3086,1024,1351,1112,1439,7744,3
103,5.088,18,knife,0.3099,1024,1351,1112,1439,7744,3
104,5.129,18,Cigarette,0.4734,1036,1302,1044,1314,96,3
104,5.129,18,knife,0.3445,1024,1351,1115,1439,8008,3
105,5.189,18,knife,0.3429,1024,1351,1118,1439,8272,3
106,5.230,18,Bottle,0.3492,49,424,59,439,150,12
106,5.230,18,knife,0.3429,1024,1350,1118,1439,8366,3
107,5.289,18,knife,0.3827,1024,1350,1117,1439,8277,3
108,5.330,18,knife,0.3712,1024,1349,1116,1439,8280,3
109,5.388,18,Bottle,0.4833,43,414,53,431,170,12
109,5.388,18,knife,0.3905,1024,1349,1117,1439,8370,3
110,5.430,18,knife,0.4038,1024,1348,1117,1439,8463,3
110,5.430,18,Bottle,0.3266,47,349,53,370,126,12
111,5.489,18,knife,0.4145,1024,1348,1117,1439,8463,3
112,5.529,18,knife,0.3663,1024,1347,1118,1439,8648,3
113,5.588,18,knife,0.3478,1024,1348,1118,1439,8554,3
114,5.630,18,knife,0.2997,1024,1348,1119,1439,8645,3
115,5.688,18,knife,0.3286,1024,1349,1119,1439,8550,3
115,5.688,18,Cigarette,0.2655,1150,1124,1170,1145,420,3
116,5.730,18,Cigarette,0.3767,1150,1123,1170,1145,440,3
116,5.730,18,knife,0.2885,1024,1348,1119,1439,8645,3
117,5.789,18,knife,0.3288,1024,1349,1117,1439,8370,3
117,5.789,18,Cigarette,0.2940,1150,1124,1170,1146,440,3
118,5.830,18,Cigarette,0.3262,1150,1124,1170,1146,440,3
118,5.830,18,knife,0.3115,1024,1348,1114,1439,8190,3
119,5.889,18,knife,0.3229,1024,1348,1113,1439,8099,3
120,5.930,18,knife,0.3268,1024,1346,1111,1439,8091,3
121,6.014,18,knife,0.3508,1024,1349,1113,1439,8010,3
122,6.084,18,knife,0.3451,1024,1348,1113,1439,8099,3
123,6.088,18,knife,0.2804,1024,1348,1114,1439,8190,3
124,6.139,18,Cigarette,0.2634,1673,1274,1679,1280,36,1
128,6.338,18,Cigarette,0.3158,1677,1281,1684,1290,63,1
129,6.379,18,Bottle,0.3789,9,353,31,414,1342,
132,6.538,18,knife,0.4056,1228,1289,1234,1325,216,3
132,6.538,18,knife,0.2637,1024,1333,1126,1440,10914,3
133,6.579,18,knife,0.5544,2525,606,2557,671,2080,
134,6.639,18,Cigarette,0.3221,1139,1164,1173,1199,1190,3
135,6.680,18,knife,0.5177,2506,567,2546,640,2920,
135,6.680,18,Cigarette,0.4407,1147,1175,1180,1201,858,3
136,6.739,18,Cigarette,0.3825,2491,577,2518,627,1350,
136,6.739,18,Cigarette,0.3504,1150,1181,1182,1209,896,3
139,6.881,18,Cigarette,0.2812,1211,1160,1235,1183,552,3
139,6.881,18,Cigarette,0.2734,1686,1277,1691,1287,50,1
147,7.289,18,Cigarette,0.3537,2237,541,2263,558,442,
149,7.389,18,Cigarette,0.2619,1110,1268,1114,1276,32,3
152,7.530,18,Cigarette,0.3257,1686,1276,1690,1287,44,1
165,8.180,18,Bottle,0.7437,2039,576,2112,685,7957,
165,8.180,18,Cigarette,0.4398,1685,1277,1691,1289,72,1
168,8.338,18,Cigarette,0.2503,1233,1154,1239,1159,30,3
176,8.739,18,Cigarette,0.3199,1840,1050,1844,1060,40,1
177,8.779,18,Bottle,0.3756,158,252,166,266,112,439
177,8.779,18,Cigarette,0.3091,1840,1050,1844,1060,40,1
178,8.838,18,Cigarette,0.3619,1840,1049,1844,1059,40,1
179,8.879,18,Cigarette,0.2512,1840,1049,1844,1059,40,1
181,9.001,18,Bottle,0.5984,2043,576,2113,696,8400,
187,9.289,18,Bottle,0.3511,194,296,205,317,231,439
187,9.289,18,Bottle,0.2683,209,318,215,338,120,439
188,9.329,18,Cigarette,0.4820,1024,380,1040,397,272,
192,9.530,18,Bottle,0.5449,1901,497,1910,532,315,541
194,9.630,18,Cigarette,0.3674,1347,319,1353,330,66,536
194,9.630,18,Cigarette,0.3206,1112,1276,1117,1285,45,3
194,9.630,18,Bottle,0.3163,1745,566,1777,588,704,541
195,9.688,18,Cigarette,0.5119,1113,1275,1118,1284,45,3
196,9.729,18,Cigarette,0.3834,1113,1274,1118,1284,50,3
200,9.930,18,Cigarette,0.6011,1173,290,1179,299,54,536
202,10.039,18,Bottle,0.3195,1547,346,1559,381,420,541
204,10.131,18,Bottle,0.3588,373,354,392,396,798,
205,10.191,18,Cigarette,0.4827,1273,1148,1280,1155,49,3
206,10.229,18,Bottle,0.4243,1012,379,1022,399,200,536
207,10.289,18,Bottle,0.6885,900,361,914,394,462,536
