frame_idx,timestamp,camera_id,class_name,confidence,x1,y1,x2,y2,box_area_px,track_id
1,0.000,18,Bottle,0.4732,1614,639,1646,706,2144,
1,0.000,18,Bottle,0.4502,1223,225,1245,281,1232,
1,0.000,18,Bottle,0.2783,1645,816,1676,863,1457,
1,0.000,18,Bottle,0.2684,1301,823,1331,862,1170,
2,0.065,18,Bottle,0.4100,1213,216,1237,278,1488,
2,0.065,18,Bottle,0.3530,1700,817,1728,849,896,
3,0.165,18,Bottle,0.3620,1229,221,1256,287,1782,
7,0.565,18,Cigarette,0.3792,1976,722,2003,742,540,
8,0.665,18,Cigarette,0.4797,1978,724,2008,750,780,47
8,0.665,18,Bottle,0.3153,1966,636,1987,670,714,47
8,0.665,18,Bottle,0.2660,2009,585,2035,638,1378,
9,0.765,18,Cigarette,0.3842,1977,721,2009,745,768,
9,0.765,18,Cigarette,0.3254,1927,663,1956,692,841,
12,1.065,18,Cigarette,0.3217,1992,714,2012,737,460,
13,1.165,18,Bottle,0.2949,2054,665,2071,699,578,47
13,1.165,18,Cigarette,0.2881,1998,713,2019,738,525,47
14,1.265,18,Cigarette,0.3891,699,528,746,544,752,
14,1.265,18,Cigarette,0.2689,1998,712,2019,738,546,47
15,1.365,18,Cigarette,0.3805,697,529,747,544,750,
15,1.365,18,Cigarette,0.3376,1997,707,2020,737,690,47
16,1.465,18,Bottle,0.3827,2067,668,2088,700,672,47
17,1.565,18,Bottle,0.3297,2060,664,2080,698,680,47
18,1.665,18,Bottle,0.2548,2052,655,2071,695,760,47
19,1.765,18,Bottle,0.5139,1512,346,1531,383,703,8
19,1.765,18,Bottle,0.4373,2046,651,2066,693,840,47
19,1.765,18,Cigarette,0.3649,2000,717,2005,724,35,47
20,1.865,18,Bottle,0.7291,2044,651,2064,691,800,47
20,1.865,18,Cigarette,0.2946,2010,680,2045,730,1750,47
21,1.965,18,Bottle,0.3494,1525,345,1546,396,1071,8
21,1.965,18,Bottle,0.3072,2043,648,2065,688,880,47
22,2.065,18,Bottle,0.3841,2043,644,2063,687,860,47
22,2.065,18,Bottle,0.2647,1528,349,1547,395,874,8
23,2.165,18,Cigarette,0.2558,1667,0,1693,23,598,
25,2.365,18,Bottle,0.2925,1562,264,1587,291,675,8
26,2.465,18,Bottle,0.4209,2060,511,2077,534,391,47
27,2.565,18,Bottle,0.2548,2064,654,2085,685,651,47
28,2.665,18,Bottle,0.4480,2064,645,2089,688,1075,47
29,2.765,18,Bottle,0.5805,2068,643,2093,690,1175,47
30,2.865,18,Bottle,0.6841,2068,643,2094,693,1300,47
30,2.865,18,Bottle,0.4638,2327,844,2356,917,2117,
30,2.865,18,Cigarette,0.3016,1207,370,1245,383,494,
31,2.965,18,Bottle,0.4632,2071,643,2096,692,1225,47
31,2.965,18,Cigarette,0.3501,688,465,712,504,936,
32,3.065,18,Bottle,0.6992,2076,658,2093,696,646,47
32,3.065,18,Bottle,0.5549,2069,646,2094,694,1200,47
32,3.065,18,Bottle,0.2943,2005,608,2032,656,1296,47
33,3.165,18,Cigarette,0.4500,687,465,712,504,975,
33,3.165,18,Bottle,0.2727,2070,647,2093,691,1012,
34,3.265,18,Bottle,0.7300,2076,661,2093,695,578,47
34,3.265,18,Bottle,0.4501,2071,651,2084,680,377,47
34,3.265,18,knife,0.4013,2083,516,2093,540,240,47
34,3.265,18,Bottle,0.3267,2322,844,2357,925,2835,
34,3.265,18,Cigarette,0.2515,688,464,713,506,1050,
35,3.365,18,Bottle,0.7532,2076,657,2092,695,608,47
35,3.365,18,Bottle,0.5663,2070,650,2085,680,450,47
35,3.365,18,Bottle,0.3958,2325,844,2357,923,2528,
35,3.365,18,Bottle,0.2985,1189,600,1213,647,1128,
36,3.465,18,Bottle,0.7826,2075,656,2092,695,663,47
36,3.465,18,Bottle,0.5592,2070,652,2084,680,392,47
36,3.465,18,Bottle,0.4136,1597,280,1622,308,700,8
36,3.465,18,Cigarette,0.3070,686,462,713,508,1242,
37,3.565,18,Bottle,0.7465,2079,664,2093,695,434,47
37,3.565,18,Bottle,0.5438,2073,650,2088,680,450,47
37,3.565,18,Bottle,0.4445,2071,651,2096,695,1100,47
37,3.565,18,Bottle,0.3136,2322,845,2358,926,2916,
37,3.565,18,Bottle,0.2998,1301,621,1327,660,1014,
38,3.665,18,Bottle,0.7826,2077,659,2093,695,576,47
38,3.665,18,Bottle,0.4944,2068,646,2095,694,1296,47
38,3.665,18,Cigarette,0.4127,685,459,713,508,1372,
39,3.765,18,Bottle,0.8258,2076,657,2093,694,629,47
39,3.765,18,Cigarette,0.4873,686,462,714,509,1316,
39,3.765,18,Bottle,0.2797,2000,628,2025,661,825,47
40,3.865,18,Bottle,0.7601,2077,655,2093,693,608,47
40,3.865,18,Cigarette,0.4928,687,461,715,509,1344,
40,3.865,18,Bottle,0.3129,2069,644,2095,691,1222,47
41,3.965,18,Bottle,0.3945,2074,651,2091,691,680,47
